solved_status,result,problem_id,level,accuracy,solved_count,error_count,rating,tag1,tag2,tag3,tag4,tag5,user_id,skills,solved_count,attempts,user_type
SO,PAC,918786,E,0.63,755,1071,3.4,Ad-Hoc,,,,,1056149,Python|C|Java|C++,217,118,W
SO,AC,918786,E,0.63,755,1071,3.4,Ad-Hoc,,,,,1056149,Python|C|Java|C++,217,118,W
SO,AC,909223,E,0.75,1691,1465,2.6,,,,,,1347625,Python|C|Java|C++,85,140,W
SO,AC,936829,M-H,0.92,76,19,4.5,Data Structures,BIT,Dynamic Programming,,,967099,C++,320,525,W
SO,PAC,916333,E,0.8,146,970,4.0,,,,,,924192,C|Java|C++,21,20,S
SO,PAC,916333,E,0.8,146,970,4.0,,,,,,924192,C|Java|C++,21,20,S
SO,PAC,916333,E,0.8,146,970,4.0,,,,,,924192,C|Java|C++,21,20,S
SO,PAC,916333,E,0.8,146,970,4.0,,,,,,924192,C|Java|C++,21,20,S
SO,PAC,916333,E,0.8,146,970,4.0,,,,,,924192,C|Java|C++,21,20,S
SO,PAC,916333,E,0.8,146,970,4.0,,,,,,924192,C|Java|C++,21,20,S
SO,PAC,916333,E,0.8,146,970,4.0,,,,,,924192,C|Java|C++,21,20,S
SO,AC,919002,E,0.84,2160,1035,3.0,Sorting,Algorithms,,,,1342016,C|C++,30,10,NA
SO,AC,913738,E,0.53,2241,8197,4.0,Implementation,Sorting,Algorithms,,,1411489,Java,4,0,W
SO,AC,928878,E,0.69,608,1160,3.9,Ad-Hoc,Basic Programming,,,,1320149,Java|C++,72,26,NA
SO,AC,918417,E,0.77,1596,1189,3.4,Ad-Hoc,Basic Programming,,,,970240,Java,53,35,W
SO,PAC,926728,,0.89,74,27,3.8,,,,,,1255842,C|C++,51,28,NA
SO,PAC,926728,,0.89,74,27,3.8,,,,,,1255842,C|C++,51,28,NA
AT,PAC,918874,E,0.71,7297,3669,3.4,Ad-Hoc,String Algorithms,,,,1275227,Java,0,1,NA
SO,AC,910442,E,0.43,2637,9714,3.7,Ad-Hoc,Algorithms,,,,1128435,Python|C|Java|C++,22,19,W
SO,AC,910442,E,0.43,2637,9714,3.7,Ad-Hoc,Algorithms,,,,1128435,Python|C|Java|C++,22,19,W
SO,AC,918420,E,0.79,83,225,3.9,Math,Number Theory,,,,1263242,Java,3,3,W
SO,PAC,918880,E,0.89,2349,1642,3.9,Ad-Hoc,,,,,1143703,Python|C|C++,57,56,W
SO,PAC,918880,E,0.89,2349,1642,3.9,Ad-Hoc,,,,,1143703,Python|C|C++,57,56,W
SO,PAC,918880,E,0.89,2349,1642,3.9,Ad-Hoc,,,,,1143703,Python|C|C++,57,56,W
AT,PAC,913738,E,0.53,2241,8197,4.0,Implementation,Sorting,Algorithms,,,1186086,C,0,5,NA
AT,PAC,913738,E,0.53,2241,8197,4.0,Implementation,Sorting,Algorithms,,,1186086,C,0,5,NA
AT,PAC,913738,E,0.53,2241,8197,4.0,Implementation,Sorting,Algorithms,,,1186086,C,0,5,NA
AT,PAC,913738,E,0.53,2241,8197,4.0,Implementation,Sorting,Algorithms,,,1186086,C,0,5,NA
AT,PAC,913738,E,0.53,2241,8197,4.0,Implementation,Sorting,Algorithms,,,1186086,C,0,5,NA
AT,PAC,903637,E,0.81,312,410,4.1,Ad-Hoc,,,,,1310707,C,1,3,NA
